cityCode,index,countryCode,countryName,urbanAgglomeration,latitude,longitude,radius,yearMotorway,yearHST,Index,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030,nbOri,nbDes
20460,181,156,China,Baotou,40.65222,109.82222,NA,NA,NA,181,104,190,347,608,754,801,835,912,1044,1212,1406,1574,1757,1957,2154,2346,2495,1,1
20464,185,156,China,Beijing,39.9075,116.39723,NA,NA,2008,185,1671,2365,3900,4582,4426,4828,5366,6017,6788,8305,10162,12813,16190,20384,24201,26494,27706,44,46
20471,194,156,China,Changchun,43.882494,125.293964,NA,NA,NA,194,765,922,1111,1314,1255,1426,1655,1909,2192,2446,2730,3041,3387,3762,4130,4480,4742,7,7
20474,199,156,China,Changsha,28.227394,112.938269,NA,NA,2009,199,577,705,861,772,731,811,830,922,1089,1542,2182,2639,3155,3761,4322,4736,5013,2,2
20480,208,156,China,Chengdu,30.66667,104.06667,NA,NA,NA,208,646,1034,1580,1609,1750,1860,2150,2639,2955,3532,4222,5128,6234,7556,8766,9594,10104,14,14
20484,212,156,China,Chongqing,29.56278,106.55278,NA,NA,NA,212,1567,1913,2275,2188,2237,2545,2961,3446,4011,5615,7863,9454,11244,13332,15233,16571,17380,11,11
20489,218,156,China,Dalian,38.913811,121.602322,NA,NA,2013,218,716,820,938,1070,1177,1294,1424,1620,1884,2311,2833,3314,3862,4489,5073,5534,5851,7,7
20517,261,156,China,Guangzhou Guangdong,23.125457,113.257374,NA,NA,2009,261,1049,1155,1272,1401,1542,1698,1870,2308,3072,4745,7330,8485,9620,12458,15174,16744,17574,41,40
20518,263,156,China,Guilin,25.28194,110.28639,NA,NA,NA,263,126,160,203,253,296,346,404,475,561,672,805,881,958,1040,1127,1226,1310,1,1
20519,265,156,China,Guiyang,26.58333,106.71667,NA,NA,NA,265,249,298,425,633,702,754,809,912,1080,1417,1860,2164,2496,2871,3225,3521,3734,4,4
20524,274,156,China,Hangzhou,30.29365,120.16142,NA,NA,2010,274,610,761,948,974,1027,1083,1141,1291,1476,2160,3160,4027,5082,6391,7597,8365,8822,14,15
20551,286,156,China,Hohhot,40.81056,111.65222,NA,NA,NA,286,122,169,234,318,365,419,481,552,635,798,1005,1220,1478,1785,2071,2282,2429,2,2
20567,308,156,China,Ji’nan Shandong,36.676721,116.997142,NA,NA,2011,308,576,760,1003,1086,1060,1150,1260,1506,1923,2134,2592,3018,3493,4032,4537,4947,5234,1,1
20584,326,156,China,Kaohsiung,22.625962,120.31546,NA,NA,NA,326,256,341,454,605,807,986,1160,1287,1372,1431,1488,1504,1514,1523,1569,1686,1796,3,3
20588,329,156,China,Kuerle,41.764562,86.147227,NA,NA,NA,329,19,24,31,40,51,65,83,106,136,174,223,304,416,568,715,806,865,1,1
20590,330,156,China,Kunming,25.03889,102.71833,NA,NA,NA,330,334,364,397,433,472,515,561,738,1100,1691,2600,2989,3365,3780,4178,4540,4805,16,15
20592,338,156,China,Lanzhou,36.05639,103.79222,NA,NA,NA,338,336,445,589,768,863,945,1033,1146,1290,1561,1890,2143,2419,2723,3017,3284,3485,1,1
20622,376,156,China,Nanchang,28.68333,115.88333,NA,NA,NA,376,343,440,564,675,615,688,788,861,912,1226,1648,1915,2203,2527,2834,3095,3285,2,2
20625,378,156,China,Nanjing Jiangsu,32.048183,118.789812,NA,NA,2011,378,1037,1130,1230,1340,1459,1589,1731,2144,2893,3518,4279,5137,6162,7369,8476,9260,9754,7,7
20626,380,156,China,Nanning,22.81667,108.31667,NA,NA,NA,380,143,225,323,443,432,509,621,690,759,1118,1624,2072,2619,3234,3800,4188,4438,3,3
20631,384,156,China,Ningbo,29.87819,121.54945,NA,NA,NA,384,282,309,338,366,377,401,447,525,634,1021,1643,2064,2547,3132,3674,4047,4290,3,3
20641,397,156,China,Qingdao,36.09861,120.37194,NA,NA,NA,397,751,913,902,895,906,933,1095,1460,2101,2486,2940,3411,3952,4566,5139,5601,5920,5,6
20654,415,156,China,Sanya,18.267573,109.503412,NA,NA,NA,415,3,5,8,12,18,28,44,69,107,179,299,370,448,541,628,696,748,1,1
20656,416,156,China,Shanghai,31.22222,121.45806,NA,NA,2010,416,4301,5846,6820,6428,6036,5627,5966,6847,7823,10450,13959,16763,19980,23741,27137,29442,30751,51,50
20666,426,156,China,Shenyang,41.79222,123.43278,NA,NA,NA,426,2148,2408,2699,2924,3156,3291,3418,3537,3651,4081,4562,5089,5676,6315,6932,7503,7911,6,6
20667,427,156,China,Shenzhen,22.541487,114.063427,NA,NA,NA,427,3,5,8,13,22,36,58,175,875,2394,6550,8409,10223,10749,11287,12067,12673,18,18
20684,449,156,China,Taipei,25.047009,121.54568,NA,NA,NA,449,503,684,930,1265,1720,2023,2273,2497,2737,2698,2630,2638,2654,2666,2742,2938,3116,25,26
20689,457,156,China,Tianjin,39.108842,117.18862,NA,NA,2008,457,2467,2761,2935,3121,3318,3527,3750,4097,4558,5513,6670,7944,9451,11210,12816,13955,14655,3,3
20704,467,156,China,Ürümqi (Wulumqi),43.82532,87.603835,NA,NA,NA,467,102,174,296,472,581,715,881,1055,1241,1497,1807,2251,2811,3499,4135,4561,4831,14,14
20710,473,156,China,Wenzhou,27.99942,120.66682,NA,NA,NA,473,151,231,419,689,767,853,949,1034,1111,1318,1565,2186,2652,3208,3722,4091,4336,5,5
20712,476,156,China,Wuhan,30.58333,114.26667,NA,NA,2009,476,1069,1489,1653,1836,2039,2265,2516,2897,3417,4763,6638,7129,7515,7906,8364,8970,9442,8,8
20715,479,156,China,Wuxi Jiangsu,31.536681,120.298556,NA,NA,2011,479,366,414,470,532,602,682,773,876,992,1349,1835,2451,2737,3049,3354,3644,3862,1,1
20720,481,156,China,Xiamen,24.47979,118.08187,NA,NA,NA,481,193,248,317,392,418,445,491,556,639,952,1416,2076,3040,4430,5800,6534,6911,6,6
20727,488,156,China,Xianyang Shaanxi,34.338637,108.701548,NA,NA,NA,488,127,142,159,179,200,225,252,282,317,429,582,620,650,680,719,781,837,13,12
20755,515,156,China,Yantai,37.465087,121.437152,NA,NA,NA,515,92,135,200,263,216,234,241,299,422,717,1218,1488,1777,2114,2430,2670,2838,1,1
20766,524,156,China,Yiwu,29.31506,120.07676,NA,NA,NA,524,3,5,8,12,19,30,47,73,114,247,532,691,866,1080,1282,1423,1520,1,1
20789,547,156,China,Zhanjiang,21.266159,110.359639,NA,NA,NA,547,152,176,203,235,272,314,363,420,486,630,818,923,1031,1149,1266,1383,1476,1,1
20793,551,156,China,Zhengzhou,34.75778,113.64861,NA,NA,NA,551,196,248,315,400,508,645,819,982,1134,1663,2438,2993,3630,4387,5086,5579,5900,10,10
21137,567,344,China Hong Kong SAR,Hong Kong,22.279588,114.188697,NA,NA,NA,567,1682,2122,2621,3286,3472,3906,4623,5031,5766,6144,6835,6897,7050,7314,7550,7743,7885,46,46
21791,568,446,China  Macao SAR,Macao,22.20056,113.54611,NA,NA,NA,568,190,174,163,199,244,243,243,294,359,398,432,468,535,584,626,667,702,14,15
23619,244,156,China,Fuqing,25.725,119.37944,NA,NA,NA,244,28,31,35,39,44,49,55,62,69,157,356,418,467,521,576,632,678,2,2
23637,266,156,China,Haerbin,45.756325,126.646688,NA,NA,NA,266,727,1129,1423,1629,1696,1738,1992,2214,2392,3050,3888,4382,4896,5457,5999,6499,6860,3,3
23639,268,156,China,Haikou,20.027423,110.330071,NA,NA,NA,268,107,134,168,209,247,293,348,412,489,666,907,1166,1492,1903,2287,2540,2702,5,5
23681,317,156,China,Jinzhong,37.688161,112.734878,NA,NA,NA,317,76,85,96,107,121,135,152,171,191,247,319,376,439,512,582,642,690,2,2
